Shoreline	
144.0476332	-40.0697014
144.0475075	-40.06996252
144.0475075	-40.07018496
144.0475945	-40.07049444
144.0478266	-40.07080392
144.0479523	-40.07098767
144.0481651	-40.07083293
144.0483875	-40.07094899
144.0483875	-40.07117143
144.0486293	-40.07130682
144.0486003	-40.07180006
144.0483489	-40.07219658
144.0483972	-40.07243836
144.048668	-40.07264145
144.0489678	-40.07281553
144.0491806	-40.07297994
144.0493643	-40.07306699
144.0495964	-40.07321205
144.0497802	-40.07327975
144.050022	-40.07335712
144.0501574	-40.07343449
144.0503508	-40.07352153
144.0505	-40.07354646
144.0506049	-40.0736
144.0508	-40.07379903
144.0509733	-40.0739
144.0509632	-40.0742
144.0508	-40.0744094
144.0505	-40.074405
144.0503024	-40.07451767
144.050138	-40.07471109
144.0499	-40.07476606
144.0496738	-40.07485616
144.0495288	-40.07489485
144.0493	-40.07505043
144.0489678	-40.07519465
144.0491032	-40.07513663
144.0487	-40.07535247
144.0484	-40.07535182
144.0481	-40.07535248
144.047875	-40.07518498
144.0478	-40.07506431
144.0475	-40.07506321
144.0473044	-40.07508827
144.0471109	-40.07527202
144.0469369	-40.07533005
144.0467918	-40.07548479
144.0467048	-40.07563953
144.0464823	-40.07581361
144.0464533	-40.07594901
144.0464049	-40.07608441
144.0463276	-40.07626816
144.0465597	-40.07634553
144.0467048	-40.07647125
144.0468049	-40.0766
144.0466	-40.07678288
144.0463	-40.07680566
144.0462057	-40.0769
144.046	-40.07705988
144.0457	-40.07709106
144.0454934	-40.0769
144.0454	-40.07685293
144.0451	-40.07687009
144.0448	-40.07687763
144.0446061	-40.07694514
144.0443256	-40.07697416
144.0441419	-40.07703219
144.0438904	-40.0770612
144.0435713	-40.07714824
144.0432811	-40.0771289
144.043	-40.07718494
144.0427	-40.07719763
144.0425268	-40.07726429
144.042285	-40.07736101
144.0421	-40.07746671
144.0418691	-40.07752542
144.0416757	-40.07762213
144.0415	-40.07776554
144.0413662	-40.07782523
144.0410858	-40.07793161
144.0408827	-40.07800898
144.0406796	-40.07806701
144.0405635	-40.0781
144.0403	-40.07836513
144.04	-40.07836482
144.0399479	-40.0784
144.0397	-40.07866192
144.0394	-40.07868904
144.0393845	-40.0787
144.0391	-40.07896893
144.0390094	-40.079
144.0388	-40.0792152
144.0387336	-40.0793
144.0384165	-40.07944032
144.0382231	-40.07964341
144.0378943	-40.07975947
144.0377008	-40.07995289
144.0374397	-40.08015599
144.0372656	-40.08035908
144.0371109	-40.08063955
144.0369272	-40.08094903
144.0368208	-40.08128752
144.0368788	-40.08156799
144.0369078	-40.08204188
144.0371206	-40.082303
144.0374397	-40.08242873
144.0376815	-40.08255445
144.037962	-40.08259314
144.0378179	-40.0826
144.0383101	-40.08261248
144.0382328	-40.0828736
144.0380297	-40.08308637
144.0379136	-40.08329914
144.0376	-40.08340186
144.0374734	-40.0835
144.0374619	-40.0838
144.0373	-40.08399173
144.0372339	-40.0841
144.037	-40.0843123
144.0369597	-40.0844
144.0369693	-40.0847
144.0369595	-40.085
144.0369816	-40.0853
144.037	-40.08533175
144.0372522	-40.0856
144.0373	-40.08563874
144.0376	-40.08564635
144.0379	-40.08565522
144.0382	-40.08573524
144.0385	-40.08581234
144.0385772	-40.0859
144.0388	-40.08612282
144.0388699	-40.0862
144.0391	-40.0864301
144.0391996	-40.0865
144.0394	-40.08670044
144.0394643	-40.0868
144.0394	-40.08695799
144.0391	-40.08696099
144.038961	-40.0871
144.0388	-40.0872567
144.0385	-40.08725814
144.0382	-40.08725847
144.0379	-40.08724384
144.0377453	-40.0871
144.0376	-40.08696826
144.0374122	-40.0868
144.0373	-40.08673029
144.037	-40.08670737
144.0367	-40.08666139
144.0364	-40.08665115
144.0362429	-40.0865
144.0361	-40.08641657
144.0358	-40.08641608
144.0355	-40.08638232
144.0352	-40.08637424
144.0349	-40.08640719
144.0346931	-40.0862
144.0346	-40.08616557
144.0343	-40.0861729
144.0342526	-40.0862
144.034	-40.08645193
144.0337	-40.08646008
144.0336644	-40.0865
144.0334	-40.08676631
144.0333238	-40.0868
144.0331	-40.08702223
144.0329792	-40.0871
144.0328	-40.08726604
144.0327001	-40.0874
144.0325	-40.08759434
144.032421	-40.0877
144.0322	-40.08793582
144.0321123	-40.088
144.0319	-40.0882199
144.0316	-40.08821843
144.0314916	-40.0883
144.0313	-40.08851269
144.031	-40.08854621
144.0309257	-40.0886
144.0307	-40.0888244
144.0306067	-40.0889
144.0305502	-40.0892
144.0304	-40.08935765
144.0301	-40.08935977
144.0299598	-40.0895
144.0298	-40.08977613
144.029784	-40.0898
144.0295	-40.08999537
144.0294289	-40.0901
144.0292	-40.0903442
144.029131	-40.0904
144.0289	-40.09061333
144.0286	-40.09058887
144.0283	-40.09061422
144.028	-40.09060841
144.0277	-40.09062299
144.0274	-40.09062335
144.0273356	-40.0907
144.0271	-40.09094421
144.0268	-40.09097311
144.0267574	-40.091
144.0266411	-40.0913
144.0265	-40.09146634
144.0263663	-40.0916
144.0263685	-40.0919
144.0262	-40.09204943
144.0260494	-40.0922
144.0262	-40.09235057
144.0263637	-40.0925
144.0265	-40.09260233
144.0267215	-40.0928
144.0267297	-40.0931
144.0268	-40.09317034
144.0271	-40.09319388
144.0273697	-40.0934
144.0273441	-40.0937
144.0271	-40.09394605
144.0268	-40.0939746
144.0265	-40.09399437
144.0262267	-40.0937
144.0262	-40.09367766
144.0261584	-40.0937
144.0259	-40.09397314
144.0256595	-40.0937
144.0256	-40.09365756
144.0253	-40.09364186
144.0250576	-40.0934
144.0250374	-40.0931
144.025	-40.09305072
144.0247252	-40.0928
144.0247	-40.09277433
144.0244	-40.09278553
144.0241	-40.09267671
144.0238	-40.09266735
144.0235	-40.09268457
144.0232	-40.09271654
144.0231165	-40.0928
144.0229	-40.0929728
144.0227728	-40.0931
144.0226	-40.09328635
144.0223	-40.09332873
144.022	-40.0933844
144.0217	-40.0933064
144.0215326	-40.0931
144.0214	-40.0929728
144.0211371	-40.0928
144.0211	-40.09278554
144.0210723	-40.0928
144.0211	-40.09283958
144.0212674	-40.0931
144.0211	-40.0932595
144.0208	-40.09330978
144.0205	-40.09331589
144.0202	-40.09336068
144.0199	-40.09335541
144.0196	-40.09331863
144.0193562	-40.0934
144.0193	-40.09348539
144.0192459	-40.0934
144.019	-40.09331588
144.0187	-40.09338057
144.0184	-40.09336526
144.0182108	-40.0931
144.0181664	-40.0928
144.0181	-40.09273329
144.0178	-40.09279619
144.0177965	-40.0928
144.0177487	-40.0931
144.0175	-40.09328598
144.0172	-40.09327438
144.0169	-40.09323297
144.0166	-40.09322697
144.0163	-40.09323365
144.0160519	-40.0931
144.016	-40.09300341
144.0158999	-40.0931
144.0157	-40.09318176
144.0154	-40.09324333
144.0152433	-40.0934
144.0151	-40.09352487
144.0148	-40.09360565
144.0145	-40.09361968
144.0142	-40.09368038
144.0141876	-40.0937
144.0139	-40.09397992
144.0137095	-40.094
144.0136	-40.09401017
144.0134891	-40.094
144.0133	-40.09398187
144.013	-40.09395534
144.0127	-40.09395632
144.0124099	-40.0937
144.0124	-40.09367978
144.012374	-40.0937
144.0121	-40.09392725
144.0118	-40.0939499
144.0117707	-40.094
144.0115	-40.09421354
144.0114043	-40.0943
144.0112	-40.09453276
144.0109	-40.09452316
144.0108409	-40.0946
144.0106	-40.09473266
144.0104327	-40.0949
144.0103	-40.09499334
144.01	-40.09510683
144.0099068	-40.0952
144.0097	-40.09532476
144.0095248	-40.0955
144.0094	-40.09561129
144.0091	-40.09566261
144.0089626	-40.0958
144.0088	-40.09593614
144.0085	-40.09595504
144.008355	-40.0961
144.0082	-40.0962651
144.0079115	-40.0961
144.0079	-40.0959125
144.0078844	-40.0961
144.0079	-40.09615427
144.0079544	-40.0964
144.007935	-40.0967
144.0082	-40.09685503
144.008254	-40.097
144.0082196	-40.0973
144.0082	-40.09742215
144.0081718	-40.0976
144.0081254	-40.0979
144.0081291	-40.0982
144.0081547	-40.0985
144.0081282	-40.0988
144.0079	-40.09906273
144.0078627	-40.0991
144.0077697	-40.0994
144.0076	-40.09954946
144.0074458	-40.0994
144.0073	-40.09937507
144.007	-40.09930165
144.0067	-40.09931074
144.0066476	-40.0994
144.0064	-40.09964109
144.0061	-40.09965201
144.0058	-40.09966974
144.0057281	-40.0997
144.0055	-40.09987592
144.0052	-40.09992717
144.0051272	-40.1
144.0049	-40.10015519
144.0046	-40.10025841
144.0043	-40.10021367
144.004	-40.10015417
144.0037	-40.10025358
144.0034	-40.10025179
144.0031	-40.10021617
144.0028486	-40.1
144.0028	-40.09991273
144.0025	-40.09997712
144.0022	-40.09990129
144.0019355	-40.0997
144.0019	-40.09966453
144.0016	-40.09962639
144.0013695	-40.0994
144.0013	-40.09933049
144.001	-40.0993239
144.0009239	-40.0994
144.0007	-40.09968761
144.0004	-40.0996194
144.0003194	-40.0997
144.0002935	-40.1
144.0001	-40.10008905
143.99995	-40.10008905
